model,engine,device,dtype,score_threshold,max_detections,map,map_50,map_75,map_small,map_medium,map_large,mar_100,inference_mean_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,throughput_images_per_second
dfine-xlarge-obj2coco,transformers,auto,float32,0.001,,0.5930634140968323,0.7681646347045898,0.6462594866752625,0.4222305715084076,0.6421875357627869,0.7639903426170349,0.7725985050201416,37.155374445579945,40.795674298517405,40.77751457225531,42.2426673816517,42.702684968244284,24.512402777868584
dfine-large-obj2coco-e25,transformers,auto,float32,0.001,,0.5725304484367371,0.7487180829048157,0.6230852603912354,0.40541982650756836,0.6147238612174988,0.7365381717681885,0.7615076899528503,30.471836114721373,34.14208467798308,34.16392509825528,35.68447045981884,36.13339184317738,29.289365585952687
rf-detr-large,rf_detr,auto,float32,0.001,,0.5654885768890381,0.7516791820526123,0.6128427386283875,0.3889048993587494,0.6110643744468689,0.7404715418815613,0.7422177195549011,22.07604193049483,26.439844103949145,26.320014498196542,27.620074804872274,28.24167976155877,37.82170560720653
yolo26x,ultralytics,auto,float32,0.001,,0.5649579167366028,0.7362273335456848,0.6187166571617126,0.4081299901008606,0.6069174408912659,0.7234817743301392,0.747340977191925,14.531824250519275,15.940986085822805,15.629622153937817,19.196788629051298,20.953057052101943,62.73137650432773
rtdetr_r101vd_coco_o365,transformers,auto,float32,0.001,,0.5621207356452942,0.7450695633888245,0.6116694808006287,0.3839569389820099,0.6053873896598816,0.7345762848854065,0.7488729953765869,28.97685243198648,32.881256591714916,32.86753816064447,34.44654206978157,35.01628587953746,30.41246301553967
dfine-xlarge-coco,transformers,auto,float32,0.001,,0.5574964880943298,0.7373335361480713,0.6017176508903503,0.3725862503051758,0.6048390865325928,0.7342743277549744,0.739539384841919,37.13243456869386,40.847465590108186,40.84243508987129,42.451141390483826,42.94948250986636,24.481323028329196
yolov5x6u,ultralytics,auto,float32,0.001,,0.5570293068885803,0.7219714522361755,0.6101164817810059,0.4135335087776184,0.603107750415802,0.6871881484985352,0.7184851169586182,55.36735816649161,56.78143804925494,55.991058237850666,72.21041227458046,80.18120797816664,17.611389115093424
rtdetr_r50vd_coco_o365,transformers,auto,float32,0.001,,0.5524251461029053,0.7337794899940491,0.6002367734909058,0.3801998794078827,0.5987111926078796,0.7160589098930359,0.7442834377288818,20.61321735023521,24.252499698568137,24.079172173514962,25.61373960925266,26.14921498112381,41.23286310396449
dfine-medium-obj2coco,transformers,auto,float32,0.001,,0.5508471131324768,0.725803554058075,0.597131073474884,0.37891310453414917,0.5937119126319885,0.7166958451271057,0.7520362138748169,24.78162385285832,28.43403591355309,28.28534902073443,29.75472321268171,30.083108507096767,35.1691192569448
rf-detr-medium,rf_detr,auto,float32,0.001,,0.5476718544960022,0.7364867329597473,0.592709481716156,0.35976552963256836,0.5983344316482544,0.7366769909858704,0.7236438989639282,15.972120734490455,19.53427193146199,19.432175089605153,20.684183528646827,21.069583324715495,51.19207941348432
yolov5l6u,ultralytics,auto,float32,0.001,,0.5464068651199341,0.7127249240875244,0.5990805625915527,0.403348833322525,0.5952848792076111,0.6793916821479797,0.7095947265625,32.421353698754686,33.836881722370165,33.333497936837375,43.12822537031025,45.93038516817615,29.55355071442302
rtdetr_r101vd,transformers,auto,float32,0.001,,0.5430681705474854,0.7278064489364624,0.5880023837089539,0.3579084873199463,0.5873480439186096,0.7207276225090027,0.7281665205955505,28.934053544467314,32.49929761351086,32.42712316568941,33.93792607821524,34.53447699313983,30.769895764894077
rtdetr_v2_r101vd,transformers,auto,float32,0.001,,0.5430681705474854,0.7278064489364624,0.5880023837089539,0.3579084873199463,0.5873480439186096,0.7207276225090027,0.7281665205955505,29.322852748120205,32.853005308425054,32.795432256534696,34.192241507116705,34.546578756999224,30.438615603411876
yolov9e,ultralytics,auto,float32,0.001,,0.5417011380195618,0.7092525362968445,0.59339439868927,0.3804597854614258,0.5967940092086792,0.7021163105964661,0.6911711096763611,21.60487851467915,23.006528569664805,22.798116551712155,24.996359273791313,26.410991374868917,43.46592303015011
yolo12x,ultralytics,auto,float32,0.001,,0.5413044691085815,0.70494544506073,0.5911365747451782,0.3840634822845459,0.597003698348999,0.6984154582023621,0.6864954233169556,20.5120074308943,21.9128324681893,21.311659482307732,27.578706957865514,30.603108322247866,45.63536007732879
dfine-large-coco,transformers,auto,float32,0.001,,0.5397034883499146,0.7163323163986206,0.583834707736969,0.36494874954223633,0.5801020264625549,0.7185981273651123,0.7303299903869629,30.58148128641769,34.39097487581894,34.346875036135316,36.04814356658608,36.63003760389984,29.077396136947613
yolov10x,ultralytics,auto,float32,0.001,,0.5380923748016357,0.7061847448348999,0.5856265425682068,0.3656582534313202,0.5927688479423523,0.7030076384544373,0.7153179049491882,12.221696623088793,13.623904903559014,13.372912420891225,15.619525499641899,16.98806570377201,73.40039489990619
yolo26l,ultralytics,auto,float32,0.001,,0.5375217199325562,0.7069243788719177,0.5879834890365601,0.3720092177391052,0.5799753069877625,0.6946462988853455,0.7312223315238953,13.707583336811513,15.116950533073396,15.102205914445221,16.464438405819237,16.986151901073754,66.15090773844665
yolo11x,ultralytics,auto,float32,0.001,,0.53639817237854,0.7031235694885254,0.5844607353210449,0.3712266683578491,0.5869445204734802,0.6916494965553284,0.6859138011932373,15.194858246808872,16.600118482345714,16.03762700688094,19.7416105074808,21.267768405377865,60.24053388917095
rtdetr_v2_r50vd,transformers,auto,float32,0.001,,0.533916175365448,0.7155674695968628,0.5744057893753052,0.3604086935520172,0.5784450173377991,0.7075866460800171,0.7254561185836792,21.118111241003497,24.648814314510673,24.568272405304015,25.959636189509183,26.337215155363086,40.5699027645035
rf-detr-base,rf_detr,auto,float32,0.001,,0.5329563021659851,0.7216142416000366,0.5765268802642822,0.35320228338241577,0.5845220685005188,0.7142651081085205,0.7145596742630005,16.966470591630788,20.433562324941157,20.283028832636774,21.593924332410097,21.981742470525205,48.93909266028481
rtdetr_r50vd,transformers,auto,float32,0.001,,0.5305918455123901,0.7121332883834839,0.5767428278923035,0.34718620777130127,0.5771695971488953,0.7008562684059143,0.7215421795845032,20.546231872774662,24.075119762914255,23.882939014583826,25.288118002936244,25.701440810225904,41.53665733951687
yolov8x,ultralytics,auto,float32,0.001,,0.53021240234375,0.6962772011756897,0.5779802203178406,0.34932512044906616,0.5847024917602539,0.6954620480537415,0.6798694133758545,14.048553530499339,15.451479286514223,15.006218920461833,20.073895843233913,22.265974530018866,64.71872248974778
rf-detr-small,rf_detr,auto,float32,0.001,,0.529656171798706,0.7206697463989258,0.572131335735321,0.31762808561325073,0.5842894911766052,0.7299758791923523,0.7032073140144348,12.675309449248015,15.887163644190878,15.798060456290841,16.952741087879986,17.276847723405808,62.94389750090154
yolo12l,ultralytics,auto,float32,0.001,,0.5268173813819885,0.6924527287483215,0.5740983486175537,0.3499014675617218,0.5836910009384155,0.6865636706352234,0.6733911633491516,19.92137824865058,21.32330839592032,21.17920306045562,22.628263069782406,23.395134061574936,46.89703780635302
yolov5m6u,ultralytics,auto,float32,0.001,,0.5263069868087769,0.6941425204277039,0.5770150423049927,0.3646218180656433,0.5730874538421631,0.6569340825080872,0.6954441666603088,20.59050880772993,22.010524041065946,21.434545051306486,28.043906926177446,30.62893774127589,45.43281196459742
rf-detr-base-2,rf_detr,auto,float32,0.001,,0.5261496901512146,0.7144911289215088,0.5702773928642273,0.3396608829498291,0.5776365995407104,0.7054111957550049,0.7136291265487671,17.072278421744706,20.539710413618014,20.415074657648802,21.713349036872387,22.1284021390602,48.686178133114815
yolov10l,ultralytics,auto,float32,0.001,,0.5253534317016602,0.6943263411521912,0.5730074048042297,0.3515242636203766,0.578601062297821,0.6912356615066528,0.7074881196022034,11.473584271967411,12.87689851350151,12.7846694085747,14.06706953421235,14.551971855107697,77.65845160241759
